"key","name","description","responsibilities","values","meetings","membership","reporting","other","chair","email"
"GradAid","Graduate Student Grants-in-Aid Committee","The Grants in Aid Committee strives to encourage research across a range of psycholegal research topics. The committee consists of two forensic clinical and two social/experimental psychological professionals. Committee members are employed across both academic and non-academic settings in order to promote research in underdeveloped areas of basic and applied research. This group has been proud of its ability to fund proposals for graduate level research across a range of institutions while maintaining a balance between applied and theory-driven research pertinent to law and psychology. The Grants in Aid Committee has two annual funding cycles with deadlines in January and September.","The Graduate Student Grants-in-Aid Committee reviews proposals for small grants to support research by graduate students that addresses psycholegal issues.","The Graduate Student Grants-in-Aid Committee supports the following aspects of the AP-LS Mission: the major catalyst for the stimulation and growth and dissemination of psychology-law science and practice. The Graduate Student Grants-in-Aid Committee also supports the AP-LS Core Values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; and social justice, diversity and inclusion.",,,,,"Twila Wingrove",""
"Legal","Legal Scholars Committee","The Legal Scholars Committee is responsible for promoting the recruitment and retention of legal scholars in the Society.",,"The Legal Scholars Committee supports the following aspects of the AP-LS Mission: the premier innovator in the education and development, and training of psychology-law scientists, practitioners, and educators; a principle leader and global partner promoting psychology-law knowledge and methods to improve justice in diverse, multicultural and international contexts; and an effective champion of the application of psychology-law to promote human rights, dignity and justice. The Legal Scholars Committee also supports the AP-LS Core Values of: knowledge and application based on methods of science; outstanding service to its members and to society; and social justice, diversity and inclusion.",,,,,"Brandon Garrett",""
"Nominations","Nominations and Awards Committee","The Nomination and Awards Committee is responsible for preparing a slate for elected positions, the Distinguished Contributions Award, and the Saleem Shah Early Career Award. Most activity takes place from fall to mid-February; nominations for elected positions are due to APA by February 15; AP-LS conference chairs typically require names of awardees and supporting information by mid- to late January.",,"The Nominations and Awards Committee supports the following aspects of the AP-LS Mission: the premier innovator in the education and development, and training of psychology-law scientists, practitioners, and educators. The Nominations and Awards Committee also supports the AP-LS Core Values of: continual pursuit of excellence; outstanding service to its members and to society; and social justice, diversity and inclusion.",,,,,"Christian Meisner",""
"Practice","Practice Committee","The Practice Committee provides guidance to the Executive Committee, editors, and committee chairs concerning broad issues about practice, such national and international trends affecting the psychology-law practice and the development and dissemination of information that is useful for psychology-law practitioners.",,"The Practice Committee supports the following aspects of the AP-LS Mission: A unifying force for psychology-law science and practice; the major catalyst for the stimulation and growth and dissemination of psychology-law science and practice; the primary resource for all psychology-law scholars and practitioners and for members of other disciplines with interest in psychology-law science and practice; the leading advocate for psychology-law knowledge and practice informing practitioners, policy makers and the public to use psychology-law knowledge in the pursuit of justice for all citizens; a principle leader and global partner promoting psychology-law knowledge and methods to improve justice in diverse, multicultural and international contexts; and an effective champion of the application of psychology-law to promote human rights, dignity and justice. The Practice Committee also supports the AP-LS Core Values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; and social justice, diversity and inclusion; and ethical action in all that we do.",,,,,"Lara Guzman-Hosta",""
"PDW","Professional Development of Women Committee","This committee was formed in 2008 and comprises male and female AP-LS members who represent both practice and academic settings. The committee's goal is to promote the professional development of women, particularly during early to later career transitions. By identifying and addressing potential obstacles to career advancement, we hope to promote better representation of women at top levels of academic and professional rank (full professors; diplomates) and greater recognition of women\'s achievement in APLS and AAFP. Through conference events, mentoring and an email list, the committee targets areas of professional development intended to appeal to women and men at all levels of their career, such as negotiating professional relationships, balancing work and family, and putting oneself forward for career advancement and awards. We welcome your input.","The PDW Committee is responsible for promoting the success and professional development of female scientists and practitioners in the field of legal/forensic psychology. By identifying and addressing potential obstacles to career advancement, the committee hopes to promote better representation of women at all levels of academic and professional rank and greater recognition of womens achievement in AP-LS and AAFP. To meet this objective, the PDW Committee provides support, mentorship, and training to AP-LS members through meetings at the annual AP-LS conference and via a blog overseen by members of the committee. On occasion, the PDW Committee may also survey the membership to assess needs of the membership and to monitor the challenges/successes of both men and women in the field.","The PDW supports the following aspects of the AP-LS Mission: the premier innovator in the education and development, and training of psychology-law scientists, practitioners, and educators; a principle leader and global partner promoting psychology-law knowledge and methods to improve justice in diverse, multicultural and international contexts; and an effective champion of the application of psychology-law to promote human rights, dignity and justice. The PDW also supports the AP-LS Core Values of: continual pursuit of excellence; outstanding service to its members and to society; and social justice, diversity and inclusion.",,,,,,""
"Publications","Publications and Communications Committee","The Publications and Communications Committee shall be responsible for publication of the Societys newsletter, journals, and book series; advise the Nominations and Awards Committee on candidates to assume editorial duties of Society publications as openings occur; oversee such journals, newsletters, books, book series, pamphlets, and other materials as will inform the psychological and legal communities and the public about research and practice in the area of law and psychology; and make recommendations to the Executive Committee to ensure that the membership receives all communication and information relevant to Society affairs to the maximum extent feasible.",,"The Publications and Communications Committee supports the following aspects of the AP-LS Mission: A unifying force for psychology-law science and practice; the major catalyst for the stimulation and growth and dissemination of psychology-law science and practice; the primary resource for all psychology-law scholars and practitioners and for members of other disciplines with interest in psychology-law science and practice; the leading advocate for psychology-law knowledge and practice informing practitioners, policy makers and the public to use psychology-law knowledge in the pursuit of justice for all citizens; a principle leader and global partner promoting psychology-law knowledge and methods to improve justice in diverse, multicultural and international contexts; and an effective champion of the application of psychology-law to promote human rights, dignity and justice. The Practice Committee also supports the AP-LS Core Values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; and social justice, diversity and inclusion; and ethical action in all that we do.",,,,,"David DeMatteo",""
"Research","Research Committee","The Research Committee provides guidance to the Executive Committee, editors, and committee chairs concerning broad issues about research, such as the promotion of research funding for psychology-law issues, national and international research trends, ethics in research, evidence-based approaches to practice and policy, and mentoring in research.",,"The Research Committee supports the following aspects of the AP-LS Mission: A unifying force for psychology-law science and practice; the major catalyst for the stimulation and growth and dissemination of psychology-law science and practice; the primary resource for all psychology-law scholars and practitioners and for members of other disciplines with interest in psychology-law science and practice; the leading advocate for psychology-law knowledge and practice informing practitioners, policy makers and the public to use psychology-law knowledge in the pursuit of justice for all citizens; a principle leader and global partner promoting psychology-law knowledge and methods to improve justice in diverse, multicultural and international contexts; and an effective champion of the application of psychology-law to promote human rights, dignity and justice. The Research Committee also supports the AP-LS Core Values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; and social justice, diversity and inclusion; and ethical action in all that we do.",,,,,"Evan Lowder & Mel Baker",""
"SIC","Science Impact & Communication","The Committee addresses issues relevant to advocacy for and communication of psychological science in legal contexts.  The Committee will be responsible for assessing and the state of science impact mechanisms throughout APLS (and increasing structures for improving impact), monitoring and leveraging APA resources and partnerships to elevate the voice of our division membership, working toward better amplifying the voices and research of our members, improving education in science communication for our membership, helping promote open science, and improving the recognition of our membership involved in advocacy efforts.","The Committee addresses issues relevant to advocacy for and communication of psychological science in legal contexts.  The Committee will be responsible for assessing and the state of science impact mechanisms throughout APLS (and increasing structures for improving impact), monitoring and leveraging APA resources and partnerships to elevate the voice of our division membership, working toward better amplifying the voices and research of our members, improving education in science communication for our membership, helping promote open science, and improving the recognition of our membership involved in advocacy efforts.","CSIC supports the following aspects of the AP-LS Mission: The American Psychology-Law Society aspires to excel as a valuable, effective, and influential organization advancing the science of psychology-law and the translation of psychology-law knowledge into practice and policy, serving as…the major catalyst for the stimulation, growth, and dissemination of psychology-law science and practice…the leading advocate for psychology-law knowledge and practicing informing practitioners, policy makers, and the public to use psychology-law knowledge in the pursuit of justice for all citizens; a principal leader and global partner promoting psychology-law knowledge and methods to improve justice in diverse, multicultural, and international contexts; and an effective champion of the application of psychology-law to promote human rights, dignity, and justice. CSIC also supports the core values of--continual pursuit of excellence, knowledge and application based on methods of science, outstanding service to its members and to society; social justice, diversity and inclusion, and ethical action in all that we do.",,,,,,""
"SciencePaper","Scientific Review Paper Committee","The committee oversees the process by which scientific review papers are prepared, reviewed, and approved. Only those topics that are approved by the Executive Committee of the AP-LS will be considered for a scientific review paper. The committee chair is responsible for appointing the lead author, working with the lead author, and approving additional members of the writing group. The committee chair will ensure that the process involves extensive opportunities for wide input from AP-LS members, which will normally include postings of a draft for the AP-LS member comments, presentations of the paper at an AP-LS and an APA annual conference meeting, and targeted reviews by other experts solicited by the committee chair as appropriate, including the editor of Law and Human Behavior. The manuscript will be submitted to Law and Human Behavior for publication and requires approval of the Executive Committee of AP-LS before it becomes an official scientific review paper of the AP-LS.","The committee oversees the process by which scientific review papers are prepared, reviewed, and approved. Only those topics that are approved by the Executive Committee of the AP-LS will be considered for a scientific review paper. The committee chair is responsible for appointing the lead author, working with the lead author, and approving additional members of the writing group. The committee chair will ensure that the process involves extensive opportunities for wide input from AP-LS members, which will normally include postings of a draft for the AP-LS member comments, presentations of the paper at an AP-LS and an APA annual conference meeting, and targeted reviews by other experts solicited by the committee chair as appropriate, including the editor of Law and Human Behavior. The manuscript will be submitted to Law and Human Behavior for publication and requires approval of the Executive Committee of AP-LS before it becomes an official scientific review paper of the AP-LS.","The Scientific Review Paper Committee supports the following aspects of the AP-LS mission: A unifying force for psychology-law science and practice; the major catalyst for the stimulation and growth and dissemination of psychology-law science and practice; the primary resource for all psychology-law scholars and practitioners and for members of other disciplines with interest in psychology-law science and practice; the leading advocate for psychology-law knowledge and practice informing practitioners, policymakers, and the public to use psychology-law knowledge in the pursuit of justice for all citizens; a principle leader and global partner promoting psychology-law knowledge and methods to improve justice in diverse, multicultural and international contexts; and an effective champion of the application of psychology-law to promote human rights, dignity, and justice. The Scientific Review Paper Committee also supports the AP-LS core values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; social justice, diversity and inclusion; and ethical action in all that we do. Scientific Review Paper topics must reach a high point of scientific clarity and consensus among the AP-LS members to justify consideration.",,,,"[SRP Terms of Reference & approval process](/publications/srp-terms-of-reference.html)","Ryan Fitzgerald",""
"SocialMedia","Social Media Committee","The Social Media Committee is responsible for investigating the appropriateness of various social media outlets for an AP-LS presence, making recommendations to the Executive Committee for establishing appropriate presences, and launching and maintaining the social media outlets. The Social Media Committee also coordinates with the student section regarding its social media initiatives. The committee will develop and maintain guidelines to educate committee and AP-LS members about best practices for using social media for professional purposes. The Social Media Committee will explore the development of apps (and other new technology) to facilitate member interaction and activities at conferences and within the AP-LS organization.",,"The Social Media Committee supports the following aspects of the AP-LS Mission: the primary resource for all psychology-law scholars and practitioners and for members of other disciplines with interest in psychology-law science and practice. The Social Media Committee also supports the AP-LS Core Values of: outstanding service to its members and to society; and social justice, diversity and inclusion. Term Length: Committee members will serve for 3-year terms. However, to assist in the initial staggering of committee members‚Äô terms, 2 initial members will serve 2-year terms.",,,,,"Ana Belmonte",""
"Students","Student Committee","The AP-LS Student Committee is comprised of ten elected officers who are current graduate students in the field of psychology and law. The Student Committee consists of a Chair, Chair-Elect, immediate Past-Chair, Secretary, Communications Officer, Campus Representative Coordinator, and four Members-at-Large: a Clinical Liaison, an Experimental Liaison, a Law Liaison and a Diversity Liaison.",,,,,,,"Cassidy White",""
"TTC","Teaching, Training and Careers","The goal of the APLS Teaching, Training and Careers Committee is to help further the careers of junior- and senior-level professionals in the field of psychology and law. Our focus is broad, targeting professionals at teaching institutions to those at research intensive universities and private companies to clinicians in forensic practice. We have developed several helpful guides for prospective and current students, and also promote the teaching of psychology and law by sponsoring an annual award, and by collecting and disseminating sample syllabi and other teaching materials. The current committee is comprised of six APLS members. For more information, please contact the committee chairperson.","The committee is responsible for soliciting and reviewing applications for the Teaching and Mentoring Award. Additionally, TTC members edit, review, and recruit articles for the Teaching Techniques Newsletter column. The committee develops, updates, and maintains the Guide to Graduate Programs in Legal and Forensic Psychology on the AP-LS website. Finally, the committee presents a symposium at the annual conference on novel trends related to training, teaching, and careers in psychology and law.","The TTC supports the following aspects of the AP-LS Mission: the primary resource for all psychology-law scholars and practitioners and for members of other disciplines with interest in psychology-law science and practice; the premier innovator in the education and development, and training of psychology-law scientists, practitioners, and educators. \n The TTC also supports the AP-LS Core Values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; and social justice, diversity and inclusion; and ethical action in all that we do.",,,,,"Cassidy Haigh",""
"UGPaper","Undergraduate Paper Award Committee","The Undergraduate Paper Award Committee was formed in 2005 to coordinate yearly recognition for high-quality mentored undergraduate research in psychology and the law. The committee is composed of five faculty members from different areas of psychology and the law who advertise the award, review submissions and make award decisions. Details about the award and contact information are available online.","The Undergraduate Paper Award Committee annually reviews undergraduate submissions and awards 1st, 2nd, and 3rd place. Each submission is blind reviewed by two members based on a created rubric. Winners are notified (around August 31st), and the Chair coordinates with the next year‚Äôs conference chairs so that winners may present their results at a poster session at the ensuing AP-LS conference.","The Undergraduate Paper Award Committee supports the following aspects of the AP-LS Mission: the premier innovator in the education and development, and training of psychology-law scientists, practitioners, and educators. The Undergraduate Paper Award Committee also supports the AP-LS Core Values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; and social justice, diversity and inclusion.",,,,,"Amory Carr",""
"UGAid","Undergraduate Research Grants in Aid Committee","The Undergraduate Research Grants in Aid Committee aims to promote and support undergraduate student engagement in psycholegal research by funding student-directed research proposals pertinent to areas of law and psychology. The committee consists of four members (including one graduate student) who advertise the award, review proposal submissions, and make award decisions. Committee members include individuals across different training backgrounds and areas of psychology and law who have experience and/or interest in mentoring undergraduate research. The committee has two annual funding cycles (January and September) that strives to fund a diverse range of student projects in basic or applied areas of psycholegal research across different institutions.","The Undergraduate Student Grants-in-Aid Committee reviews proposals for small grants to support research by undergraduate students that addresses psycholegal issues.","The Undergraduate Student Grants-in-Aid Committee supports the following aspects of the AP-LS Mission: the major catalyst for the stimulation and growth and dissemination of psychology-law science and practice. The Undergraduate Student Grants-in-Aid Committee also supports the AP-LS Core Values of: continual pursuit of excellence; knowledge and application based on methods of science; outstanding service to its members and to society; and social justice, diversity and inclusion.",,,,,"Lauren Kois",""
"Liaisons","Liaisons to Committees and Councils","Liaisons to Committees and Councils act as connections between AP-LS and other related Societies, Committees, or Councils. They are responsible for attending the AP-LS Executive Committee meetings and submitting reports keeping AP-LS informed and involved with the other organization as relevant. Similarly, they will relay relevant information about AP-LS and activities to the other organization.",,"Liaisons support the following aspects of the AP-LS vision: serving as a uniting force for psychology-law science and practice, the major catalyst for the stimulation, growth, and dissemination of psychology-law science and practice, the primary resource for all psychology-law scholars and practitioners and for members of other disciplines with interests in psychology-law science and practice, the premier innovator in the education, development, and training of psychology-law scientists, practitioners, and educators, the leading advocate for psychology-law knowledge and practice informing practitioners, policy makers, and the public to use psychology-law knowledge in the pursuit of justice for all citizens. It supports the core values of outstanding service to its members and society, social justice, diversity and inclusion.",,,,,,""
